population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,1,Male,34,2-4 years,404,Acute hepatitis E,1,Number,2023,159537.31031305576,210542.18863221403,106381.87969898904
1,All Population,5,Prevalence,1,Global,2,Female,34,2-4 years,404,Acute hepatitis E,1,Number,2023,136873.2583729104,186223.3502094568,89539.96953288939
1,All Population,5,Prevalence,1,Global,1,Male,235,95+ years,404,Acute hepatitis E,1,Number,2023,749.5229768552991,1062.6419236410993,407.3938646078847
1,All Population,5,Prevalence,1,Global,2,Female,235,95+ years,404,Acute hepatitis E,1,Number,2023,2000.95459382671,2870.0525854619464,1069.5087759409273
1,All Population,5,Prevalence,1,Global,1,Male,238,12-23 months,404,Acute hepatitis E,1,Number,2023,47120.22538118552,64449.91125018004,31019.04462092669
1,All Population,5,Prevalence,1,Global,2,Female,238,12-23 months,404,Acute hepatitis E,1,Number,2023,39199.63176313742,55153.74918054907,24596.98133194708
1,All Population,5,Prevalence,1,Global,1,Male,388,1-5 months,404,Acute hepatitis E,1,Number,2023,17601.91670828238,26363.73957270125,11389.023177141333
1,All Population,5,Prevalence,1,Global,2,Female,388,1-5 months,404,Acute hepatitis E,1,Number,2023,14367.84088868992,21433.56132564407,9188.61739866114
1,All Population,5,Prevalence,1,Global,1,Male,389,6-11 months,404,Acute hepatitis E,1,Number,2023,21576.379495591384,30748.231449671188,13033.862797380858
1,All Population,5,Prevalence,1,Global,2,Female,389,6-11 months,404,Acute hepatitis E,1,Number,2023,17684.9874471351,25350.508404206423,10809.017269940574
1,All Population,5,Prevalence,1,Global,1,Male,2,0-6 days,405,Leprosy,1,Number,2023,0.0,0.0,0.0
1,All Population,5,Prevalence,1,Global,2,Female,2,0-6 days,405,Leprosy,1,Number,2023,0.0,0.0,0.0
1,All Population,5,Prevalence,1,Global,1,Male,3,7-27 days,405,Leprosy,1,Number,2023,0.0,0.0,0.0
1,All Population,5,Prevalence,1,Global,2,Female,3,7-27 days,405,Leprosy,1,Number,2023,0.0,0.0,0.0
